null	No.	OK	change	protein name	old
R00	3897			2-phosphosulfolactate phosphatase	phosphosulfolactate phosphohydrolase-like enzyme
R00	3898			Adenosylmethionine decarboxylase	S-adenosylmethionine decarboxylase
U02	3899			hypothetical protein	Protein of unknown function (DUF2605)
U02	3900			hypothetical protein	protein of unknown function (DUF1790)
U02	3901			hypothetical protein	Protein of unknown function (DUF2869)
U02	3902			hypothetical protein	Protein of unknown function (DUF2958)
U02	3903			hypothetical protein	Protein of unknown function, DUF488
U02	3904			hypothetical protein	Protein of unknown function (DUF574)
U02	3905			hypothetical protein	Protein of unknown function (DUF1688)
U02	3906			hypothetical protein	Alpha/beta hydrolase of unknown function (DUF900)
U02	3907			hypothetical protein	protein of unknown function DUF37
U02	3908			hypothetical protein	protein of unknown function (DUF894)
R00	3909			Galactose-1-phosphate uridylyltransferase	galactose-1-phosphate uridylyltransferase, family 1
R00	3910			60 kDa chaperonin	thermosome subunit
R00	3911			UPF0296 protein Cylst_4879	hypothetical protein
R00	3912			CinA-like protein	competence/damage-inducible protein CinA-like protein
R00	3913			Cyanophycinase	cysnophycinase-like exopeptidase
R00	3914			Chaperone protein DnaK	molecular chaperone
R00	3915			tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	tRNA-N(6)-(isopentenyl)adenosine-37 thiotransferase enzyme MiaB
R00	3916			Photosystem I reaction center subunit VIII	photosystem I reaction center subunit VIII
R00	3917			Protein PsbN	Photosystem II reaction centre N protein (psbN)
R00	3918			Ferredoxin--NADP reductase	sulfite reductase, alpha subunit (flavoprotein)
R00	3919			Glutamate dehydrogenase	glutamate dehydrogenase/leucine dehydrogenase
R00	3920			Macrolide export ATP-binding/permease protein MacB	ABC-type antimicrobial peptide transport system, ATPase component
R00	3921			Putative 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase
R00	3922			DNA polymerase	DNA polymerase elongation subunit (family B)
U02	3923			hypothetical protein	Protein of unknown function (DUF559)
U02	3924			hypothetical protein	Alpha/beta hydrolase of unknown function (DUF1100)
U02	3925			hypothetical protein	Protein of unknown function (DUF2862)
U02	3926			hypothetical protein	Protein of unknown function (DUF2662)
R00	3927			UPF0145 protein Cylst_6022	hypothetical protein
R00	3928			Probable transcriptional regulatory protein Cylst_5899	DNA-binding regulatory protein, YebC/PmpR family
R00	3929			UPF0176 protein Cylst_5918	putative sulfurtransferase
R00	3930			UPF0182 protein Cylst_4209	hypothetical protein
R00	3931			UPF0367 protein Cylst_0411	hypothetical protein
R00	3932			Glutaminase	L-glutaminase
R00	3933			3-isopropylmalate dehydratase small subunit	3-isopropylmalate dehydratase, small subunit
R00	3934			tRNA dimethylallyltransferase	tRNA isopentenyltransferase MiaA
R00	3935			Gamma-glutamyl phosphate reductase	glutamate-5-semialdehyde dehydrogenase
R00	3936			Spermidine/putrescine import ATP-binding protein PotA	spermidine/putrescine ABC transporter ATP-binding subunit
R00	3937			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	phycobilisome core linker protein
R00	3938			RNA polymerase sigma factor SigA	RNA polymerase sigma factor, cyanobacterial RpoD-like family
R00	3939			Undecaprenyl-diphosphatase	undecaprenyl-diphosphatase UppP
U02	3940			hypothetical protein	Protein of unknown function (DUF3134)
U02	3941			hypothetical protein	Protein of unknown function (DUF3146)
U02	3942			hypothetical protein	protein of unknown function (DUF1825)
U02	3943			hypothetical protein	Protein of unknown function (DUF3539)
U02	3944			hypothetical protein	Protein of unknown function (DUF3353)
R00	3945			Nucleoid-associated protein Cylst_5371	DNA-binding protein, YbaB/EbfC family
R00	3946			UPF0060 membrane protein Cylst_2718	hypothetical protein
R00	3947			UPF0272 protein Cylst_2314	TIGR00299 family protein
R00	3948			UPF0310 protein Cylst_3736	Protein of unknown function DUF55
R00	3949			UPF0061 protein Cylst_3322	hypothetical protein
R00	3950			Adenylyl-sulfate kinase	adenylylsulfate kinase-like kinase
R00	3951			Serine hydroxymethyltransferase	glycine/serine hydroxymethyltransferase
R00	3952			Divalent metal cation transporter MntH	natural resistance-associated macrophage protein metal ion transporter NRAMP
R00	3953			Nitrogenase iron protein	nitrogenase iron protein
R00	3954			NAD(P)H-quinone oxidoreductase subunit M	Cyanobacterial and plastid NDH-1 subunit M
R00	3955			Photosystem I reaction center subunit XI	Photosystem I reaction centre subunit XI
R00	3956			Photosystem II reaction center protein I	Photosystem II reaction centre I protein (PSII 4)
R00	3957			Photosystem II reaction center protein L	PsbL protein
R00	3958			Laccase domain protein	uncharacterized protein, YfiH family
R00	3959			Anaerobic ribonucleoside-triphosphate reductase-activating protein	organic radical activating enzyme
R00	3960			Methylated-DNA--protein-cysteine methyltransferase	O-6-methylguanine DNA methyltransferase
R00	3961			Alkyl hydroperoxide reductase AhpD	alkylhydroperoxidase AhpD family core domain protein
U01	3962			PsaD protein	PsaD
U02	3963			hypothetical protein	Protein of unknown function, DUF270
U02	3964			hypothetical protein	Protein of unknown function (DUF3148)
U02	3965			hypothetical protein	Protein of unknown function (DUF2795)
R00	3966			Acetylornithine aminotransferase	acetylornithine/succinylornithine aminotransferase
R00	3967			Maf-like protein Cylst_5675	MAF protein
R00	3968			UPF0234 protein Cylst_2154	hypothetical protein
R00	3969			LL-diaminopimelate aminotransferase	aspartate/tyrosine/aromatic aminotransferase
R00	3970			Deoxyhypusine synthase-like protein	deoxyhypusine synthase
R00	3971			ATP phosphoribosyltransferase regulatory subunit	ATP phosphoribosyltransferase, regulatory subunit
R00	3972			Primosomal protein N'	primosomal protein N' (replication factor Y)-superfamily II helicase
R00	3973			Polyphosphate kinase	polyphosphate kinase 1
R00	3974			Aliphatic sulfonates import ATP-binding protein SsuB	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
R00	3975			Endoribonuclease YbeY	metalloprotein, YbeY/UPF0054 family
R00	3976			Glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase (NAD+)
R00	3977			Cell division protein FtsX	cell division protein
R00	3978			Phosphoribulokinase	uridine kinase
R00	3979			Alkanesulfonate monooxygenase	alkanesulfonate monooxygenase, FMNH(2)-dependent
U00	3980			Assimilatory nitrite reductase (NAD(P)H) large subunit	assimilatory nitrite reductase (NAD(P)H) large subunit precursor
U02	3981			hypothetical protein	protein of unknown function DUF71 ATP-binding region
U02	3982			hypothetical protein	Protein of unknown function DUF318, transmembrane
U02	3983			hypothetical protein	protein of unknown function DUF1239
U02	3984			hypothetical protein	protein of unknown function DUF204
U02	3985			hypothetical protein	protein of unknown function DUF423
U02	3986			hypothetical protein	protein of unknown function DUF547
U02	3987			hypothetical protein	protein of unknown function DUF1817
U02	3988			hypothetical protein	Protein of unknown function DUF2081
U02	3989			hypothetical protein	Protein of unknown function DUF2257
R00	3990			o-succinylbenzoate synthase	o-succinylbenzoic acid (OSB) synthetase
R00	3991			Ammonium transporter	integral membrane sensor signal transduction histidine kinase
R00	3992			UPF0182 protein Lepto7376_0093	UPF0182 protein
R00	3993			Cytochrome f	Apocytochrome f
R00	3994			Chaperone protein DnaJ	Chaperone protein dnaJ
R00	3995			Formamidopyrimidine-DNA glycosylase	DNA-(apurinic or apyrimidinic site) lyase
R00	3996			Glycerol-3-phosphate dehydrogenase [NAD(P)+]	Glycerol-3-phosphate dehydrogenase (NAD(P)+)
R00	3997			1,4-alpha-glucan branching enzyme GlgB	glycogen branching enzyme
R00	3998			Bifunctional protein GlmU	glucosamine-1-phosphate N-acetyltransferase
R00	3999			Glucokinase	glucokinase
R00	4000			Ribosomal silencing factor RsfS	iojap-like protein
R00	4001			Cyclic pyranopterin monophosphate synthase accessory protein	GTP cyclohydrolase subunit MoaC
R00	4002			Bifunctional pantoate ligase/cytidylate kinase	pantothenate synthetase
R00	4003			Transcriptional repressor NrdR	Transcriptional repressor nrdR
R00	4004			4-hydroxybenzoate solanesyltransferase	4-hydroxybenzoate octaprenyltransferase
R00	4005			Ribulose bisphosphate carboxylase large chain	ribulose 1,5-bisphosphate carboxylase large subunit
R00	4006			Threonine--tRNA ligase	Ser-tRNA(Thr) hydrolase
R00	4007			Sec-independent protein translocase protein TatA	Sec-independent protein translocase protein tatA/E-like protein
R00	4008			Tryptophan synthase beta chain	tryptophan synthase, beta chain
R00	4009			Urease accessory protein UreF	Urease accessory protein ureF
R00	4010			Putative pre-16S rRNA nuclease	Holliday junction resolvase
R00	4011			Histidine kinase	Cache sensor hybrid histidine kinase
R00	4012			Histidine kinase	integral membrane sensor hybrid histidine kinase
R00	4013			Histidine kinase	CBS sensor signal transduction histidine kinase
R00	4014			Rubredoxin	Rubredoxin-type Fe(Cys)4 protein
R00	4015			Chaperone protein HtpG	ATP-binding region ATPase domain protein
R00	4016			Superoxide dismutase [Cu-Zn]	superoxide dismutase copper/zinc binding protein
U01	4017			SipA protein	SipA
U02	4018			hypothetical protein	protein of unknown function DUF43
U02	4019			hypothetical protein	Protein of unknown function DUF2252
U02	4020			hypothetical protein	protein of unknown function DUF924
U02	4021			hypothetical protein	protein of unknown function UPF0227
U02	4022			hypothetical protein	protein of unknown function DUF399
U02	4023			hypothetical protein	Protein of unknown function DUF457, transmembrane
U02	4024			hypothetical protein	protein of unknown function DUF445
U02	4025			hypothetical protein	Protein of unknown function DUF2330
U02	4026			hypothetical protein	Protein of unknown function DUF2059
U02	4027			hypothetical protein	protein of unknown function DUF985
U02	4028			hypothetical protein	protein of unknown function DUF815
U02	4029			hypothetical protein	protein of unknown function DUF62
U02	4030			hypothetical protein	protein of unknown function UPF0061
R00	4031			Cytochrome c biogenesis protein CcsB	Cytochrome c biogenesis protein ccs1
R00	4032			Cytochrome c biogenesis protein CcsA	Cytochrome c biogenesis protein ccsA
R00	4033			UPF0296 protein Lepto7376_2284	UPF0296 protein
R00	4034			UPF0284 protein Lepto7376_2543	UPF0284 protein
R00	4035			Maf-like protein Lepto7376_0768	Septum formation protein Maf
R00	4036			Glycine dehydrogenase (decarboxylating)	glycine dehydrogenase (decarboxylating) beta subunit
R00	4037			Ferredoxin-thioredoxin reductase, catalytic chain	ferredoxin thioredoxin reductase beta chain
R00	4038			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme mnmG
R00	4039			Endonuclease MutS2	MutS2 protein
R00	4040			Molybdopterin synthase sulfur carrier subunit	thiamine S protein
R00	4041			Probable molybdenum cofactor guanylyltransferase	molybdenum cofactor guanylyltransferase
R00	4042			Protein PsbN	Protein psbN
R00	4043			Ribosomal RNA small subunit methyltransferase I	protein of unknown function UPF0011
R00	4044			Lysine--tRNA ligase	Lysyl-tRNA synthetase
R00	4045			Proline--tRNA ligase	Prolyl-tRNA synthetase
R00	4046			6-carboxy-5,6,7,8-tetrahydropterin synthase	queuosine biosynthesis protein QueD
R00	4047			Histidine kinase	adenylate/guanylate cyclase with integral membrane sensor
R00	4048			Putative Holliday junction resolvase	Resolvase RNase H domain protein fold protein
R00	4049			Ammonium transporter	diguanylate cyclase with PAS/PAC sensor
R00	4050			Protein-glutamate methylesterase	response regulator receiver modulated CheB methylesterase
U02	4051			hypothetical protein	protein of unknown function DUF751
U02	4052			hypothetical protein	protein of unknown function DUF1824
U02	4053			hypothetical protein	protein of unknown function DUF785
U02	4054			hypothetical protein	protein of unknown function DUF1348
U02	4055			hypothetical protein	Protein of unknown function DUF2227, metal-binding protein
U02	4056			hypothetical protein	protein of unknown function DUF1971
U02	4057			hypothetical protein	protein of unknown function DUF1625
U02	4058			hypothetical protein	Protein of unknown function DUF2064
U02	4059			hypothetical protein	protein of unknown function DUF1064
U02	4060			hypothetical protein	protein of unknown function DUF389
U02	4061			hypothetical protein	protein of unknown function DUF45
R00	4062			L-ectoine synthase	ectoine synthase
R00	4063			UPF0145 protein Lepto7376_3272	UPF0145 protein ybjQ
R00	4064			UPF0234 protein Lepto7376_2362	UPF0234 protein yajQ
R00	4065			PKHD-type hydroxylase Lepto7376_2480	PKHD-type hydroxylase ybiX
R00	4066			Nucleoid-associated protein Lepto7376_0130	UPF0133 protein ybaB
R00	4067			ATP-dependent Clp protease adapter protein ClpS	ATP-dependent Clp protease adapter protein clpS
R00	4068			D-alanyl-D-alanine dipeptidase	peptidase M15D vanX D-ala-D-ala dipeptidase
R00	4069			Fructose-1,6-bisphosphatase class 1	D-fructose 1,6-bisphosphatase
R00	4070			Peptide methionine sulfoxide reductase MsrB	Peptide methionine sulfoxide reductase msrB
R00	4071			Spermidine/putrescine import ATP-binding protein PotA	spermidine/putrescine ABC transporter ATPase subunit
R00	4072			Cell division protein SepF	Cell division protein sepF
R00	4073			Sulfurtransferase	tRNA 2-selenouridine synthase
R00	4074			Lipoprotein-releasing system ATP-binding protein LolD	Phosphonate-transporting ATPase
U02	4075			hypothetical protein	protein of unknown function DUF1993-containing protein
U02	4076			hypothetical protein	protein of unknown function DUF861 cupin_3
U02	4077			hypothetical protein	protein of unknown function DUF72
R00	4078			UPF0367 protein Lepto7376_3102	UPF0367 protein
R00	4079			UPF0176 protein Lepto7376_2882	UPF0176 protein yceA
R00	4080			UPF0272 protein Lepto7376_3527	UPF0272 protein
R00	4081			Probable transcriptional regulatory protein Lepto7376_1107	UPF0082 protein yeeN
R00	4082			UPF0061 protein Lepto7376_1851	UPF0061 protein ydiU
R00	4083			UPF0225 protein Lepto7376_1830	UPF0225 protein ychJ
R00	4084			UPF0102 protein Lepto7376_1937	UPF0102 protein yraN
R00	4085			Cytochrome c oxidase subunit 2	cytochrome C oxidase subunit II transmembrane region
R00	4086			Phosphoribosylformylglycinamidine synthase subunit PurS	phosphoribosylformylglycinamidine synthase, purS
R00	4087			Probable alpha-L-glutamate ligase	SSU ribosomal protein S6P modification protein
R00	4088			30S ribosomal protein S14	SSU ribosomal protein S14P
R00	4089			Endoribonuclease YbeY	metalloprotease ybeY
R00	4090			Photosystem I assembly protein Ycf3	Photosystem I assembly protein ycf3
R00	4091			Putative membrane protein insertion efficiency factor	UPF0161 protein yidD
R00	4092			Ferredoxin--NADP reductase	Ferredoxin--NADP(+) reductase
R00	4093			Zinc metalloprotease	hypothetical protein
R00	4094			DNA helicase	UvrD/REP helicase
R00	4095			Pseudouridine synthase	pseudouridine synthase Rsu
R00	4096			Ribonucleoside-diphosphate reductase subunit beta	ribonucleotide reductase
R00	4097			D,D-heptose 1,7-bisphosphate phosphatase	D-alpha,beta-D-heptose 1,7-bisphosphate phosphatase
U02	4098			hypothetical protein	protein of unknown function DUF752
U02	4099			hypothetical protein	protein of unknown function DUF411
U02	4100			hypothetical protein	recombination factor protein RarA/unknown domain fusion protein
R00	4101			ATP synthase epsilon chain	ATP synthase CF1 epsilon subunit
R00	4102			UPF0173 metal-dependent hydrolase GKIL_2242	metal-dependent hydrolase
R00	4103			UPF0391 membrane protein GKIL_0773	hypothetical protein
R00	4104			Sulfate/thiosulfate import ATP-binding protein CysA	sulfate ABC transporter ATPase subunit
R00	4105			2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	phosphoglyceromutase
R00	4106			Histidine biosynthesis bifunctional protein HisIE	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein
R00	4107			Probable hydrogenase nickel incorporation protein HypA	hydrogenase nickel incorporation protein hypA
R00	4108			Heat-inducible transcription repressor HrcA	heat-inducible transcription repressor
R00	4109			Potassium-transporting ATPase KdpC subunit	potassium-transporting ATPase subunit C
R00	4110			Potassium-transporting ATPase potassium-binding subunit	potassium-transporting ATPase subunit A
R00	4111			Lipoyl synthase	lipoyl synthase
R00	4112			Endonuclease MutS2	recombination and DNA strand exchange inhibitor protein
R00	4113			DNA mismatch repair protein MutL	DNA mismatch repair protein
R00	4114			Bifunctional pantoate ligase/cytidylate kinase	bifunctional pantoate ligase/cytidylate kinase
R00	4115			Polyribonucleotide nucleotidyltransferase	polynucleotide phosphorylase/polyadenylase
R00	4116			Cytochrome b559 subunit beta	cytochrome b559 subunit beta
R00	4117			Protein RecA	recombinase A
R00	4118			7-carboxy-7-deazaguanine synthase	queuosine biosynthesis protein QueE
R00	4119			Ribosomal RNA small subunit methyltransferase I	SAM-dependent 16S ribosomal RNA C1402 ribose 2'-O-methyltransferase
R00	4120			Adenosylhomocysteinase	S-adenosyl-L-homocysteine hydrolase
R00	4121			Transaldolase	bifunctional transaldolase/phosoglucose isomerase
R00	4122			Sec-independent protein translocase protein TatC	Sec-independent protein translocase, TatC subunit
R00	4123			tRNA N6-adenosine threonylcarbamoyltransferase	DNA-binding/iron metalloprotein/AP endonuclease
R00	4124			Tryptophan synthase alpha chain	tryptophan synthase subunit alpha
R00	4125			Imidazolonepropionase	imidazolonepropionase
R00	4126			Protein-export membrane protein SecF	preprotein translocase subunit SecF
R00	4127			Histidine kinase	OmpR family heavy metal sensor histidine kinase CusS
R00	4128			Histidine kinase	sensory histidine kinase CreC
R00	4129			Histidine kinase	OmpR family sensor kinase
R00	4130			Histidine kinase	NtrC family sensor kinase
R00	4131			Histidine kinase	GAF sensor hybrid histidine kinase
R00	4132			Histidine kinase	OmpR family manganese sensing sensor histidine kinase
R00	4133			Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	carbamoyl phosphate synthase large subunit
R00	4134			Chaperone protein HtpG	heat shock protein 90
R00	4135			Aromatic acid decarboxylase	aromatic acid decarboxylase
R00	4136			Beta-N-acetylhexosaminidase	beta-N-acetylglucosaminidase
R00	4137			Proline iminopeptidase	proline iminopeptidase
R00	4138			Potassium-transporting ATPase	potassium-transporting ATPase subunit B
U00	4139			F0F1 ATP synthase subunit B	F0F1 ATP synthase subunit B'
U01	4140			TonB protein	TonB
U00	4141			Zinc metalloprotease	zinc metalloprotease precursor
R00	4142			ATP-dependent RecD-like DNA helicase	helicase, RecD/TraA family
R00	4143			Acetyl-coenzyme A synthetase	acetyl-CoA synthetase
R00	4144			Holo-[acyl-carrier-protein] synthase	4'-phosphopantetheinyl transferase
R00	4145			Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	acetyl-CoA carboxylase subunit beta
R00	4146			ATP synthase subunit a	F0F1 ATP synthase subunit A
R00	4147			ATP synthase subunit beta	F0F1 ATP synthase subunit beta
R00	4148			Cytochrome c biogenesis protein CcsA	cytochrome c biogenesis protein
R00	4149			10 kDa chaperonin	co-chaperonin GroES
R00	4150			Carboxylic ester hydrolase	carboxylesterase
R00	4151			UPF0234 protein GKIL_0372	nucleotide-binding protein
R00	4152			UPF0061 protein GKIL_0410	hypothetical protein
R00	4153			3-oxoacyl-[acyl-carrier-protein] synthase 3	3-oxoacyl-(acyl carrier protein) synthase III
R00	4154			Elongation factor P	elongation factor P
R00	4155			Bifunctional protein FolD	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase
R00	4156			Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	aspartyl/glutamyl-tRNA amidotransferase subunit B
R00	4157			Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	glutamyl-tRNA(Gln) amidotransferase subunit C
R00	4158			Glycine cleavage system H protein	glycine cleavage system protein H
R00	4159			Aminomethyltransferase	glycine cleavage system aminomethyltransferase T
R00	4160			Glutamyl-tRNA(Gln) amidotransferase subunit A	aspartyl/glutamyl-tRNA amidotransferase subunit A
R00	4161			Protein GrpE	GrpE protein
R00	4162			2,3-bisphosphoglycerate-independent phosphoglycerate mutase	phosphoglyceromutase
R00	4163			33 kDa chaperonin	Hsp33 chaperonin
R00	4164			Large-conductance mechanosensitive channel	large conductance mechanosensitive channel protein
R00	4165			Divalent metal cation transporter MntH	manganese transport protein MntH
R00	4166			N-acetylmuramic acid 6-phosphate etherase	N-acetylmuramic acid-6-phosphate etherase
R00	4167			NAD(P)H-quinone oxidoreductase subunit J	NADH dehydrogenase subunit J
R00	4168			NAD(P)H-quinone oxidoreductase subunit I	NADH dehydrogenase subunit I
R00	4169			Cytochrome b6-f complex subunit 5	cytochrome b6-f complex subunit PetG
R00	4170			Cytochrome b6-f complex subunit 7	cytochrome b6-f complex subunit PetM
R00	4171			Photosystem I P700 chlorophyll a apoprotein A1	photosystem I P700 chlorophyll a apoprotein A1
R00	4172			Photosystem II reaction center protein H	photosystem II reaction center protein H
R00	4173			Dihydroorotate dehydrogenase (quinone)	dihydroorotate dehydrogenase 2
R00	4174			Ribosome maturation factor RimM	16S rRNA-processing protein RimM
R00	4175			50S ribosomal protein L25	50S ribosomal protein L25/general stress protein Ctc
R00	4176			30S ribosomal protein S14 type Z	30S ribosomal protein S14
R00	4177			Ribosomal RNA small subunit methyltransferase G	16S rRNA methyltransferase GidB
R00	4178			5'-nucleotidase SurE	stationary phase survival protein SurE
R00	4179			Sec-independent protein translocase protein TatA	twin-arginine translocation protein, TatA/E family subunit
R00	4180			Thymidylate synthase ThyX	FAD-dependent thymidylate synthase
R00	4181			Undecaprenyl-diphosphatase	undecaprenyl pyrophosphate phosphatase
R00	4182			Photosystem I assembly protein Ycf4	photosystem I assembly protein Ycf4
R00	4183			Photosystem I P700 chlorophyll a apoprotein	photosystem I P700 chlorophyll a apoprotein A2
R00	4184			Histidine kinase	sensor protein ZraS
R00	4185			RNA polymerase sigma factor	RNA polymerase sigma factor SigC
R00	4186			RNA polymerase sigma factor	RNA polymerase sigma factor RpoD
R00	4187			tRNA-dihydrouridine synthase	dihydroorotate dehydrogenase 1B
R00	4188			Ribosome biogenesis GTPase A	ribosomal biogenesis GTPase
R00	4189			Alkyl hydroperoxide reductase AhpD	hypothetical protein
U01	4190			ParB protein	ParB
U01	4191			YciI protein	YciI
U00	4192			Thiol:disulfide interchange protein	thiol:disulfide interchange protein precursor
R00	4193			Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase	magnesium-protoporphyrin IX monomethyl ester cyclase
R00	4194			ATP synthase subunit delta	F0F1 ATP synthase subunit delta
R00	4195			UPF0102 protein yraN	putative endonuclease
R00	4196			UPF0272 protein GKIL_4044	hypothetical protein
R00	4197			UPF0060 membrane protein GKIL_4260	hypothetical protein
R00	4198			Chromophore lyase CpcS/CpeS	spermidine synthase
R00	4199			Enolase	phosphopyruvate hydratase
R00	4200			D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase	fructose 1,6-bisphosphatase II
R00	4201			Elongation factor Tu	elongation factor Tu
R00	4202			3-oxoacyl-[acyl-carrier-protein] synthase 2	3-oxoacyl-(acyl carrier protein) synthase II
R00	4203			Fumarate hydratase class II	fumarate hydratase
R00	4204			Glycerol-3-phosphate dehydrogenase [NAD(P)+]	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
R00	4205			Imidazole glycerol phosphate synthase subunit HisF	imidazole glycerol phosphate synthase subunit HisF
R00	4206			Histidine ammonia-lyase	histidine ammonia-lyase
R00	4207			Enolase-phosphatase E1	2,3-diketo-5-methylthio-1-phosphopentane phosphatase
R00	4208			Endonuclease V	endonuclease V
R00	4209			NAD(P)H-quinone oxidoreductase subunit M	hypothetical protein
R00	4210			Aspartate 1-decarboxylase	aspartate alpha-decarboxylase
R00	4211			Glycerol-3-phosphate acyltransferase	glycerol-3-phosphate acyltransferase PlsY
R00	4212			Photosystem II CP43 reaction center protein	photosystem II 44 kDa protein
R00	4213			Photosystem II CP47 reaction center protein	photosystem II 47 kDa protein
R00	4214			Photosystem II reaction center protein I	photosystem II protein I
R00	4215			Photosystem II reaction center protein K	photosystem II reaction center protein K
R00	4216			CTP synthase	CTP synthetase
R00	4217			Crossover junction endodeoxyribonuclease RuvC	Holliday junction resolvase
R00	4218			Aliphatic sulfonates import ATP-binding protein SsuB	aliphatic sulfonates transport ATP-binding subunit
R00	4219			Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	tRNA (uracil-5-)-methyltransferase Gid
R00	4220			Cytochrome b6-f complex iron-sulfur subunit	cytochrome b6-f complex iron-sulfur subunit
R00	4221			Thiazole synthase	thiazole synthase
R00	4222			Urocanate hydratase	urocanate hydratase
R00	4223			Endoribonuclease YbeY	metalloprotease
R00	4224			Phosphate-binding protein	phosphate ABC transporter periplasmic phosphate-binding protein
R00	4225			Zinc metalloprotease	regulator of sigma E protease
R00	4226			Glycolate oxidase iron-sulfur subunit	glycolate oxidase iron-sulfur subunit
R00	4227			Alpha-amylase	alpha amylase catalytic region
R00	4228			Transcription termination/antitermination protein NusA	transcription elongation factor NusA
R00	4229			Polyamine-transporting ATPase	spermidine/putrescine ABC transporter ATPase subunit
R00	4230			UPF0056 membrane protein	multiple antibiotic resistance protein
R00	4231			Succinate dehydrogenase iron-sulfur subunit	succinate dehydrogenase iron-sulfur subunit
R00	4232			N-acylglucosamine-6-phosphate 2-epimerase	N-acetylmannosamine-6-phosphate 2-epimerase
R00	4233			Methylated-DNA--protein-cysteine methyltransferase	methylated-DNA-[protein]-cysteine S-methyltransferase
U01	4234			HipA protein	HipA
R00	4235			Kynureninase	kynureninase
R00	4236			Arsenical pump membrane protein	arsenical pump membrane protein
R00	4237			Putative 3-methyladenine DNA glycosylase	3-methyladenine DNA glycosylase
R00	4238			Arginine biosynthesis bifunctional protein ArgJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein
R00	4239			ATP synthase gamma chain	F0F1 ATP synthase subunit gamma
R00	4240			Nucleoid-associated protein GKIL_1188	hypothetical protein
R00	4241			Type III pantothenate kinase	pantothenate kinase
R00	4242			ATP-dependent Clp protease ATP-binding subunit ClpX	ATP-dependent protease ATP-binding subunit ClpX
R00	4243			Elongation factor G	elongation factor G
R00	4244			3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	(3R)-hydroxymyristoyl-ACP dehydratase
R00	4245			Putative glutamate--cysteine ligase 2	carboxylate-amine ligase
R00	4246			Putative gluconeogenesis factor	LPPG:FO 2-phospho-L-lactate transferase
R00	4247			Acetolactate synthase	acetolactate synthase 3 catalytic subunit
R00	4248			Catalase-peroxidase	catalase/peroxidase
R00	4249			3-isopropylmalate dehydratase large subunit	isopropylmalate isomerase large subunit
R00	4250			tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	(dimethylallyl)adenosine tRNA methylthiotransferase
R00	4251			Cyclic pyranopterin monophosphate synthase	molybdenum cofactor biosynthesis protein MoaA
R00	4252			GTPase Obg	GTPase ObgE
R00	4253			Phosphate acyltransferase	glycerol-3-phosphate acyltransferase PlsX
R00	4254			Ribosomal protein L11 methyltransferase	50S ribosomal protein L11 methyltransferase
R00	4255			Photosystem II D2 protein	photosystem II protein D2
R00	4256			Photosystem I reaction center subunit XII	hypothetical protein
R00	4257			Protein PsbN	photosystem II reaction center protein N
R00	4258			Phosphoribosylformylglycinamidine synthase subunit PurQ	phosphoribosylformylglycinamidine synthase I
R00	4259			Bifunctional purine biosynthesis protein PurH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
R00	4260			Phosphoribosylformylglycinamidine synthase subunit PurS	phosphoribosylformylglycinamidine synthase subunit PurS
R00	4261			Aspartate carbamoyltransferase	aspartate carbamoyltransferase catalytic subunit
R00	4262			Epoxyqueuosine reductase	hypothetical protein
R00	4263			DNA replication and repair protein RecF	recombination protein F
R00	4264			Riboflavin biosynthesis protein RibBA	bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II/unknown domain fusion protein
R00	4265			Bifunctional protein PyrR	bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase
R00	4266			Ribosome maturation factor RimP	ribosome maturation factor RimP
R00	4267			Ribose-5-phosphate isomerase A	ribose-5-phosphate isomerase A
R00	4268			Protein translocase subunit SecA	preprotein translocase subunit SecA
