biosample_accession	*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	ref_biomaterial	*host	rel_to_oxygen	samp_collect_device	samp_mat_process	sample_size	source_material_id	depth	elev	altitude	age	air_temp_regm	antibiotic_regm	body_product	chem_administration	chem_mutagen	climate_environment	dry_mass	fertilizer_regm	fungicide_regm	gaseous_environment	genotype	gravity	growth_hormone_regm	growth_med	height_or_length	herbicide_regm	host_common_name	host_disease_stat	host_taxid	humidity_regm	infra_specific_name	infra_specific_rank	life_stage	mechanical_damage	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	phenotype	plant_body_site	plant_product	radiation_regm	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_store_loc	samp_store_temp	season_environment	standing_water_regm	temp	tiss_cult_growth_med	tot_mass	water_temp_regm	watering_regm	wet_mass
SAMD00019445	130531_A113	130531_A113	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019446	130531_A114	130531_A114	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Walsura trichostemon																																																											
SAMD00019447	130531_A115	130531_A115	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019448	130531_A116	130531_A116	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019449	130531_A117	130531_A117	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019450	130531_A118	130531_A118	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019451	130531_A119	130531_A119	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Dehaasia candolleana																																																											
SAMD00019452	130531_A121	130531_A121	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Chaetocarpus castanocarpus																																																											
SAMD00019453	130531_A122	130531_A122	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019454	130531_A123	130531_A123	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019455	130531_A124	130531_A124	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019456	130531_A125	130531_A125	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019457	130531_A126	130531_A126	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019458	130531_A127	130531_A127	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019459	130531_A129	130531_A129	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019460	130531_A130	130531_A130	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019461	130531_A131	130531_A131	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019462	130531_A132	130531_A132	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019463	130531_A133	130531_A133	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019464	130531_A134	130531_A134	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019465	130531_A135	130531_A135	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019466	130531_A136	130531_A136	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019467	130531_A137	130531_A137	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019468	130531_A138	130531_A138	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019469	130531_A139	130531_A139	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019470	130531_A140	130531_A140	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019471	130531_A141	130531_A141	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Melodinus cambodiensis																																																											
SAMD00019472	130531_A142	130531_A142	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019473	130531_A143	130531_A143	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019474	130531_A145	130531_A145	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Melodinus cambodiensis																																																											
SAMD00019475	130531_A146	130531_A146	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019476	130921_A112	130921_A112	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Fagerlindia sinensis																																																											
SAMD00019477	130921_A113	130921_A113	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Dialium cochinchinense																																																											
SAMD00019478	130921_A114	130921_A114	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019479	130921_A115	130921_A115	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Prismatomeris tetrandra																																																											
SAMD00019480	130921_A116	130921_A116	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Alchornea rugosa																																																											
SAMD00019481	130921_A117	130921_A117	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019482	130921_A118	130921_A118	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019483	130921_A119	130921_A119	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Fagerlindia sinensis																																																											
SAMD00019484	130921_A120	130921_A120	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Melodorum rutecensis																																																											
SAMD00019485	130921_A121	130921_A121	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Grewia panicurata																																																											
SAMD00019486	130921_A122	130921_A122	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019487	130921_A123	130921_A123	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019488	130921_A124	130921_A124	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon caeruleum																																																											
SAMD00019489	130921_A125	130921_A125	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon caeruleum																																																											
SAMD00019490	130921_A126	130921_A126	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019491	130921_A127	130921_A127	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019492	130921_A128	130921_A128	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019493	130921_A129	130921_A129	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019494	130921_A130	130921_A130	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019495	130921_A131	130921_A131	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019496	130921_A132	130921_A132	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019497	130921_A133	130921_A133	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019498	130921_A134	130921_A134	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019499	130921_A136	130921_A136	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019500	130921_A137	130921_A137	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019501	130921_A138	130921_A138	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019502	130921_A139	130921_A139	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Chaetocarpus castanocarpus																																																											
SAMD00019503	130921_A140	130921_A140	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019504	130921_A141	130921_A141	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019505	130921_A142	130921_A142	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Chaetocarpus castanocarpus																																																											
SAMD00019506	130921_A143	130921_A143	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
